CountryID,GeoZone,EconomyType,CountryShortCode
Germany,Europe,Developed,DEU
UK,Europe,Developed,GBR
Switzerland,Europe,Developed,CHE
Spain,Europe,Developed,ESP
France,Europe,Developed,FRA
Italy,Europe,Emerging,ITA
Sweden,Europe,Developed,SWE
Russia,EastEurope,Emerging,RUS
US,NorthAmerica,Developed,USA
Canada,NorthAmerica,Developed,CAN
Mexico,SouthAmerica,Emerging,MEX
Argentina,SouthAmerica,Emerging,ARG
Brazil,SouthAmerica,Emerging,BRA
Japan,Asia,Developed,JPN
Australia,Asia,Developed,AUS
NewZealand,Asia,Emerging,NZL
China,Asia,Emerging,CHN
