TemplateId,UploadSourceID,SourceID,Template,TemplateInputs,Description,SuffixGroup
ST.GDP,Quandl,OECD,OECD/MEI_CLI_LORSGPNO_%s_M,CountrySuffix,GDP growth rates normalized,1
ST.INDPROD,Quandl,OECD,OECD/KEI_PRINTO01_%s_GP_M,CountrySuffix,Industrial production,1
ST.STOCK,Quandl,OECD,OECD/MEI_FIN_SP_%s_M,CountrySuffix,Stock prices,1
ST.CPI,Quandl,OECD,OECD/MEI_PRICES_CPALTT_%s_IXOB_Q,CountrySuffix,Consumer prices,1
ST.RESERVE,Quandl,OECD,OECD/MEI_FIN_XF_%s_M,CountrySuffix,Reserve assets,1
ST.CLI,Quandl,OECD,OECD/MEI_CLI_LOLITOAA_%s_M,CountrySuffix,Composite leading indicator,1
ST.CONFIDENCE,Quandl,OECD,OECD/MEI_BTS_COS_BCCI_%s_BLSA_M,CountrySuffix,Consumer confidence,1
ST.UTIL,Quandl,OECD,OECD/MEI_BTS_COS_BSCURT_%s_BLSA_Q,CountrySuffix,Capacity utilization,1
ST.IRATE,Quandl,OECD,OECD/MEI_FIN_IRLT_%s_M,CountrySuffix,Long term interest rates,1
ST.M1,Quandl,OECD,OECD/MEI_FIN_MANM_%s_M,CountrySuffix,Narrow money,1
ST.M3,Quandl,OECD,OECD/MEI_FIN_MABM_%s_Q ,CountrySuffix,Wide money,1
GDP,Quandl,ODA,ODA/%s_NGDP,CountrySuffix,GDP at Current Prices,1
GDPCH,Quandl,ODA,ODA/%s_NGDP_RPCH,CountrySuffix,"GDP at Constant Prices, % change",1
UNEMP,Quandl,ODA,ODA/%s_LUR,CountrySuffix,Unemployment Rate,1
CPI,Quandl,WORLDBANK,WORLDBANK/%s_FP_CPI_TOTL,CountrySuffix,Consumer price index,1
LENDRATE,Quandl,WORLDBANK,WORLDBANK/USA_FR_INR_LEND,CountrySuffix,Lending interest rate,1
MCAP,Quandl,WORLDBANK,WORLDBANK/%s_CM_MKT_LCAP_CD,CountrySuffix,Stock market capitalization,1
STOCK,Quandl,WORLDBANK,WORLDBANK/%s_DSTKMKTXD,CountrySuffix,Stock Market Index,1
GOVREV,Quandl,ODA,ODA/%s_GGR,CountrySuffix,Government revenues,1
GOVEXP,Quandl,ODA,ODA/%s_GGX,CountrySuffix,Government spending,1
DEBT,Quandl,ODA,ODA/%s_GGXWDN,CountrySuffix,Net debt,1
INDPROD,Quandl,WORLDBANK,WORLDBANK/%s_IPTOTSAKD,CountrySuffix,Industrial production,1
IMPORT,Quandl,UN,UN/COMM_1_ALLCOMMODITIES_IMPORT_%s,CountrySuffix,Imports,1
EXPORT,Quandl,UN,UN/COMM_1_ALLCOMMODITIES_EXPORT_%s,CountrySuffix,Exports,1
RESERV,Quandl,WORLDBANK,WORLDBANK/%s_TOTRESV,CountrySuffix,Reserves,1
TBALANCE,Quandl,WORLDBANK,WORLDBANK/%s_NE_RSB_GNFS_CD,CountrySuffix,TradeBalance,1
TAXPGDP,Quandl,WORLDBANK,WORLDBANK/%s_GC_TAX_TOTL_GD_ZS,CountrySuffix,Tax share of GDP,1
TAXRATE,Quandl,WORLDBANK,WORLDBANK/%s_IC_TAX_TOTL_CP_ZS,CountrySuffix,Tax share of corporate profits,1
ExchangeRate,Quandl,FRED,FRED/EX%sUS,CountrySuffix,Exchange rate,2
